,geometry,index_right,Unnamed: 0,stationId,x,y,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember
41,"POLYGON ((928433.4348778214 7456684.861747535, 928433.4348778214 7466684.861747535, 918433.4348778214 7466684.861747535, 918433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
42,"POLYGON ((928433.4348778214 7466684.861747535, 928433.4348778214 7476684.861747535, 918433.4348778214 7476684.861747535, 918433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
43,"POLYGON ((928433.4348778214 7476684.861747535, 928433.4348778214 7486684.861747535, 918433.4348778214 7486684.861747535, 918433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
44,"POLYGON ((928433.4348778214 7486684.861747535, 928433.4348778214 7496684.861747535, 918433.4348778214 7496684.861747535, 918433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
45,"POLYGON ((928433.4348778214 7496684.861747535, 928433.4348778214 7506684.861747535, 918433.4348778214 7506684.861747535, 918433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
46,"POLYGON ((928433.4348778214 7506684.861747535, 928433.4348778214 7516684.861747535, 918433.4348778214 7516684.861747535, 918433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
69,"POLYGON ((938433.4348778214 7446684.861747535, 938433.4348778214 7456684.861747535, 928433.4348778214 7456684.861747535, 928433.4348778214 7446684.861747535, 938433.4348778214 7446684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
70,"POLYGON ((938433.4348778214 7456684.861747535, 938433.4348778214 7466684.861747535, 928433.4348778214 7466684.861747535, 928433.4348778214 7456684.861747535, 938433.4348778214 7456684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
71,"POLYGON ((938433.4348778214 7466684.861747535, 938433.4348778214 7476684.861747535, 928433.4348778214 7476684.861747535, 928433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
72,"POLYGON ((938433.4348778214 7476684.861747535, 938433.4348778214 7486684.861747535, 928433.4348778214 7486684.861747535, 928433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
73,"POLYGON ((938433.4348778214 7486684.861747535, 938433.4348778214 7496684.861747535, 928433.4348778214 7496684.861747535, 928433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
74,"POLYGON ((938433.4348778214 7496684.861747535, 938433.4348778214 7506684.861747535, 928433.4348778214 7506684.861747535, 928433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
105,"POLYGON ((948433.4348778214 7456684.861747535, 948433.4348778214 7466684.861747535, 938433.4348778214 7466684.861747535, 938433.4348778214 7456684.861747535, 948433.4348778214 7456684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
106,"POLYGON ((948433.4348778214 7466684.861747535, 948433.4348778214 7476684.861747535, 938433.4348778214 7476684.861747535, 938433.4348778214 7466684.861747535, 948433.4348778214 7466684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
107,"POLYGON ((948433.4348778214 7476684.861747535, 948433.4348778214 7486684.861747535, 938433.4348778214 7486684.861747535, 938433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
108,"POLYGON ((948433.4348778214 7486684.861747535, 948433.4348778214 7496684.861747535, 938433.4348778214 7496684.861747535, 938433.4348778214 7486684.861747535, 948433.4348778214 7486684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
144,"POLYGON ((958433.4348778214 7476684.861747535, 958433.4348778214 7486684.861747535, 948433.4348778214 7486684.861747535, 948433.4348778214 7476684.861747535, 958433.4348778214 7476684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
145,"POLYGON ((958433.4348778214 7486684.861747535, 958433.4348778214 7496684.861747535, 948433.4348778214 7496684.861747535, 948433.4348778214 7486684.861747535, 958433.4348778214 7486684.861747535))",14,14,6081,8.0828,55.5575,-5.9,-6.9,-4.65,-1.4,3.4,9.3,8.5,9.2,4.5,6.4,-1.8,-3.5
4,"POLYGON ((908433.4348778214 7536684.861747535, 908433.4348778214 7546684.861747535, 898433.4348778214 7546684.861747535, 898433.4348778214 7536684.861747535, 908433.4348778214 7536684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
5,"POLYGON ((908433.4348778214 7546684.861747535, 908433.4348778214 7556684.861747535, 898433.4348778214 7556684.861747535, 898433.4348778214 7546684.861747535, 908433.4348778214 7546684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
6,"POLYGON ((908433.4348778214 7556684.861747535, 908433.4348778214 7566684.861747535, 898433.4348778214 7566684.861747535, 898433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
7,"POLYGON ((908433.4348778214 7566684.861747535, 908433.4348778214 7576684.861747535, 898433.4348778214 7576684.861747535, 898433.4348778214 7566684.861747535, 908433.4348778214 7566684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
8,"POLYGON ((908433.4348778214 7576684.861747535, 908433.4348778214 7586684.861747535, 898433.4348778214 7586684.861747535, 898433.4348778214 7576684.861747535, 908433.4348778214 7576684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
9,"POLYGON ((908433.4348778214 7586684.861747535, 908433.4348778214 7596684.861747535, 898433.4348778214 7596684.861747535, 898433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
10,"POLYGON ((908433.4348778214 7596684.861747535, 908433.4348778214 7606684.861747535, 898433.4348778214 7606684.861747535, 898433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
11,"POLYGON ((908433.4348778214 7606684.861747535, 908433.4348778214 7616684.861747535, 898433.4348778214 7616684.861747535, 898433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
12,"POLYGON ((908433.4348778214 7616684.861747535, 908433.4348778214 7626684.861747535, 898433.4348778214 7626684.861747535, 898433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
24,"POLYGON ((918433.4348778214 7516684.861747535, 918433.4348778214 7526684.861747535, 908433.4348778214 7526684.861747535, 908433.4348778214 7516684.861747535, 918433.4348778214 7516684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
25,"POLYGON ((918433.4348778214 7526684.861747535, 918433.4348778214 7536684.861747535, 908433.4348778214 7536684.861747535, 908433.4348778214 7526684.861747535, 918433.4348778214 7526684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
26,"POLYGON ((918433.4348778214 7536684.861747535, 918433.4348778214 7546684.861747535, 908433.4348778214 7546684.861747535, 908433.4348778214 7536684.861747535, 918433.4348778214 7536684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
27,"POLYGON ((918433.4348778214 7546684.861747535, 918433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535, 908433.4348778214 7546684.861747535, 918433.4348778214 7546684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
28,"POLYGON ((918433.4348778214 7576684.861747535, 918433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535, 908433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
29,"POLYGON ((918433.4348778214 7586684.861747535, 918433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535, 908433.4348778214 7586684.861747535, 918433.4348778214 7586684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
30,"POLYGON ((918433.4348778214 7596684.861747535, 918433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535, 908433.4348778214 7596684.861747535, 918433.4348778214 7596684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
31,"POLYGON ((918433.4348778214 7606684.861747535, 918433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535, 908433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
47,"POLYGON ((928433.4348778214 7516684.861747535, 928433.4348778214 7526684.861747535, 918433.4348778214 7526684.861747535, 918433.4348778214 7516684.861747535, 928433.4348778214 7516684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
48,"POLYGON ((928433.4348778214 7526684.861747535, 928433.4348778214 7536684.861747535, 918433.4348778214 7536684.861747535, 918433.4348778214 7526684.861747535, 928433.4348778214 7526684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
49,"POLYGON ((928433.4348778214 7556684.861747535, 928433.4348778214 7566684.861747535, 918433.4348778214 7566684.861747535, 918433.4348778214 7556684.861747535, 928433.4348778214 7556684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
50,"POLYGON ((928433.4348778214 7566684.861747535, 928433.4348778214 7576684.861747535, 918433.4348778214 7576684.861747535, 918433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
51,"POLYGON ((928433.4348778214 7576684.861747535, 928433.4348778214 7586684.861747535, 918433.4348778214 7586684.861747535, 918433.4348778214 7576684.861747535, 928433.4348778214 7576684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
52,"POLYGON ((928433.4348778214 7586684.861747535, 928433.4348778214 7596684.861747535, 918433.4348778214 7596684.861747535, 918433.4348778214 7586684.861747535, 928433.4348778214 7586684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
53,"POLYGON ((928433.4348778214 7596684.861747535, 928433.4348778214 7606684.861747535, 918433.4348778214 7606684.861747535, 918433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
80,"POLYGON ((938433.4348778214 7556684.861747535, 938433.4348778214 7566684.861747535, 928433.4348778214 7566684.861747535, 928433.4348778214 7556684.861747535, 938433.4348778214 7556684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
81,"POLYGON ((938433.4348778214 7566684.861747535, 938433.4348778214 7576684.861747535, 928433.4348778214 7576684.861747535, 928433.4348778214 7566684.861747535, 938433.4348778214 7566684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
82,"POLYGON ((938433.4348778214 7576684.861747535, 938433.4348778214 7586684.861747535, 928433.4348778214 7586684.861747535, 928433.4348778214 7576684.861747535, 938433.4348778214 7576684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
83,"POLYGON ((938433.4348778214 7586684.861747535, 938433.4348778214 7596684.861747535, 928433.4348778214 7596684.861747535, 928433.4348778214 7586684.861747535, 938433.4348778214 7586684.861747535))",5,5,6058,8.1413,56.0072,-2.85,-6.3,-4.55,2.3,5.1,10.4,12.4,11.7,9.7,6.8,-0.2,-0.6
13,"POLYGON ((908433.4348778214 7646684.861747535, 908433.4348778214 7656684.861747535, 898433.4348778214 7656684.861747535, 898433.4348778214 7646684.861747535, 908433.4348778214 7646684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
14,"POLYGON ((908433.4348778214 7656684.861747535, 908433.4348778214 7666684.861747535, 898433.4348778214 7666684.861747535, 898433.4348778214 7656684.861747535, 908433.4348778214 7656684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
15,"POLYGON ((908433.4348778214 7666684.861747535, 908433.4348778214 7676684.861747535, 898433.4348778214 7676684.861747535, 898433.4348778214 7666684.861747535, 908433.4348778214 7666684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
16,"POLYGON ((908433.4348778214 7676684.861747535, 908433.4348778214 7686684.861747535, 898433.4348778214 7686684.861747535, 898433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
17,"POLYGON ((908433.4348778214 7686684.861747535, 908433.4348778214 7696684.861747535, 898433.4348778214 7696684.861747535, 898433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
34,"POLYGON ((918433.4348778214 7646684.861747535, 918433.4348778214 7656684.861747535, 908433.4348778214 7656684.861747535, 908433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
35,"POLYGON ((918433.4348778214 7656684.861747535, 918433.4348778214 7666684.861747535, 908433.4348778214 7666684.861747535, 908433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
36,"POLYGON ((918433.4348778214 7666684.861747535, 918433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535, 908433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
37,"POLYGON ((918433.4348778214 7676684.861747535, 918433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535, 908433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
38,"POLYGON ((918433.4348778214 7686684.861747535, 918433.4348778214 7696684.861747535, 908433.4348778214 7696684.861747535, 908433.4348778214 7686684.861747535, 918433.4348778214 7686684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
39,"POLYGON ((918433.4348778214 7706684.861747535, 918433.4348778214 7716684.861747535, 908433.4348778214 7716684.861747535, 908433.4348778214 7706684.861747535, 918433.4348778214 7706684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
59,"POLYGON ((928433.4348778214 7656684.861747535, 928433.4348778214 7666684.861747535, 918433.4348778214 7666684.861747535, 918433.4348778214 7656684.861747535, 928433.4348778214 7656684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
60,"POLYGON ((928433.4348778214 7666684.861747535, 928433.4348778214 7676684.861747535, 918433.4348778214 7676684.861747535, 918433.4348778214 7666684.861747535, 928433.4348778214 7666684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
61,"POLYGON ((928433.4348778214 7676684.861747535, 928433.4348778214 7686684.861747535, 918433.4348778214 7686684.861747535, 918433.4348778214 7676684.861747535, 928433.4348778214 7676684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
62,"POLYGON ((928433.4348778214 7696684.861747535, 928433.4348778214 7706684.861747535, 918433.4348778214 7706684.861747535, 918433.4348778214 7696684.861747535, 928433.4348778214 7696684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
91,"POLYGON ((938433.4348778214 7666684.861747535, 938433.4348778214 7676684.861747535, 928433.4348778214 7676684.861747535, 928433.4348778214 7666684.861747535, 938433.4348778214 7666684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
126,"POLYGON ((948433.4348778214 7666684.861747535, 948433.4348778214 7676684.861747535, 938433.4348778214 7676684.861747535, 938433.4348778214 7666684.861747535, 948433.4348778214 7666684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
127,"POLYGON ((948433.4348778214 7676684.861747535, 948433.4348778214 7686684.861747535, 938433.4348778214 7686684.861747535, 938433.4348778214 7676684.861747535, 948433.4348778214 7676684.861747535))",3,3,6052,8.215,56.7068,-4.800000000000001,-6.449999999999999,-5.25,1.8,4.9,10.0,11.9,10.3,8.0,7.2,-0.1,-1.5
32,"POLYGON ((918433.4348778214 7616684.861747535, 918433.4348778214 7626684.861747535, 908433.4348778214 7626684.861747535, 908433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
33,"POLYGON ((918433.4348778214 7636684.861747535, 918433.4348778214 7646684.861747535, 908433.4348778214 7646684.861747535, 908433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
54,"POLYGON ((928433.4348778214 7606684.861747535, 928433.4348778214 7616684.861747535, 918433.4348778214 7616684.861747535, 918433.4348778214 7606684.861747535, 928433.4348778214 7606684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
55,"POLYGON ((928433.4348778214 7616684.861747535, 928433.4348778214 7626684.861747535, 918433.4348778214 7626684.861747535, 918433.4348778214 7616684.861747535, 928433.4348778214 7616684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
56,"POLYGON ((928433.4348778214 7626684.861747535, 928433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535, 918433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
57,"POLYGON ((928433.4348778214 7636684.861747535, 928433.4348778214 7646684.861747535, 918433.4348778214 7646684.861747535, 918433.4348778214 7636684.861747535, 928433.4348778214 7636684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
58,"POLYGON ((928433.4348778214 7646684.861747535, 928433.4348778214 7656684.861747535, 918433.4348778214 7656684.861747535, 918433.4348778214 7646684.861747535, 928433.4348778214 7646684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
84,"POLYGON ((938433.4348778214 7596684.861747535, 938433.4348778214 7606684.861747535, 928433.4348778214 7606684.861747535, 928433.4348778214 7596684.861747535, 938433.4348778214 7596684.861747535))",34,34,6056,8.6705,56.383,-8.0,-8.25,-6.9,-1.9,2.2,7.4,6.9,7.4,3.8,2.7,-2.5,-6.0
