geometry,soiltype
"POLYGON ((908433.4348778214 7541684.861747535, 908433.4348778214 7546684.861747535, 903433.4348778214 7546684.861747535, 903433.4348778214 7541684.861747535, 908433.4348778214 7541684.861747535))",HSL
"POLYGON ((908433.4348778214 7546684.861747535, 908433.4348778214 7551684.861747535, 903433.4348778214 7551684.861747535, 903433.4348778214 7546684.861747535, 908433.4348778214 7546684.861747535))",ES
"POLYGON ((908433.4348778214 7551684.861747535, 908433.4348778214 7556684.861747535, 903433.4348778214 7556684.861747535, 903433.4348778214 7551684.861747535, 908433.4348778214 7551684.861747535))",ES
"POLYGON ((908433.4348778214 7556684.861747535, 908433.4348778214 7561684.861747535, 903433.4348778214 7561684.861747535, 903433.4348778214 7556684.861747535, 908433.4348778214 7556684.861747535))",ES
"POLYGON ((908433.4348778214 7561684.861747535, 908433.4348778214 7566684.861747535, 903433.4348778214 7566684.861747535, 903433.4348778214 7561684.861747535, 908433.4348778214 7561684.861747535))",ES
"POLYGON ((908433.4348778214 7566684.861747535, 908433.4348778214 7571684.861747535, 903433.4348778214 7571684.861747535, 903433.4348778214 7566684.861747535, 908433.4348778214 7566684.861747535))",ES
"POLYGON ((908433.4348778214 7571684.861747535, 908433.4348778214 7576684.861747535, 903433.4348778214 7576684.861747535, 903433.4348778214 7571684.861747535, 908433.4348778214 7571684.861747535))",ES
"POLYGON ((908433.4348778214 7576684.861747535, 908433.4348778214 7581684.861747535, 903433.4348778214 7581684.861747535, 903433.4348778214 7576684.861747535, 908433.4348778214 7576684.861747535))",HV
"POLYGON ((908433.4348778214 7581684.861747535, 908433.4348778214 7586684.861747535, 903433.4348778214 7586684.861747535, 903433.4348778214 7581684.861747535, 908433.4348778214 7581684.861747535))",ES
"POLYGON ((908433.4348778214 7586684.861747535, 908433.4348778214 7591684.861747535, 903433.4348778214 7591684.861747535, 903433.4348778214 7586684.861747535, 908433.4348778214 7586684.861747535))",HSL
"POLYGON ((908433.4348778214 7591684.861747535, 908433.4348778214 7596684.861747535, 903433.4348778214 7596684.861747535, 903433.4348778214 7591684.861747535, 908433.4348778214 7591684.861747535))",SØ
"POLYGON ((908433.4348778214 7596684.861747535, 908433.4348778214 7601684.861747535, 903433.4348778214 7601684.861747535, 903433.4348778214 7596684.861747535, 908433.4348778214 7596684.861747535))",HSL
"POLYGON ((908433.4348778214 7601684.861747535, 908433.4348778214 7606684.861747535, 903433.4348778214 7606684.861747535, 903433.4348778214 7601684.861747535, 908433.4348778214 7601684.861747535))",HSL
"POLYGON ((908433.4348778214 7606684.861747535, 908433.4348778214 7611684.861747535, 903433.4348778214 7611684.861747535, 903433.4348778214 7606684.861747535, 908433.4348778214 7606684.861747535))",HSL
"POLYGON ((908433.4348778214 7611684.861747535, 908433.4348778214 7616684.861747535, 903433.4348778214 7616684.861747535, 903433.4348778214 7611684.861747535, 908433.4348778214 7611684.861747535))",ES
"POLYGON ((908433.4348778214 7616684.861747535, 908433.4348778214 7621684.861747535, 903433.4348778214 7621684.861747535, 903433.4348778214 7616684.861747535, 908433.4348778214 7616684.861747535))",ES
"POLYGON ((908433.4348778214 7621684.861747535, 908433.4348778214 7626684.861747535, 903433.4348778214 7626684.861747535, 903433.4348778214 7621684.861747535, 908433.4348778214 7621684.861747535))",HSL
"POLYGON ((908433.4348778214 7646684.861747535, 908433.4348778214 7651684.861747535, 903433.4348778214 7651684.861747535, 903433.4348778214 7646684.861747535, 908433.4348778214 7646684.861747535))",HSL
"POLYGON ((908433.4348778214 7651684.861747535, 908433.4348778214 7656684.861747535, 903433.4348778214 7656684.861747535, 903433.4348778214 7651684.861747535, 908433.4348778214 7651684.861747535))",DSG
"POLYGON ((908433.4348778214 7656684.861747535, 908433.4348778214 7661684.861747535, 903433.4348778214 7661684.861747535, 903433.4348778214 7656684.861747535, 908433.4348778214 7656684.861747535))",ML
"POLYGON ((908433.4348778214 7661684.861747535, 908433.4348778214 7666684.861747535, 903433.4348778214 7666684.861747535, 903433.4348778214 7661684.861747535, 908433.4348778214 7661684.861747535))",ML
"POLYGON ((908433.4348778214 7666684.861747535, 908433.4348778214 7671684.861747535, 903433.4348778214 7671684.861747535, 903433.4348778214 7666684.861747535, 908433.4348778214 7666684.861747535))",SØ
"POLYGON ((908433.4348778214 7671684.861747535, 908433.4348778214 7676684.861747535, 903433.4348778214 7676684.861747535, 903433.4348778214 7671684.861747535, 908433.4348778214 7671684.861747535))",ES
"POLYGON ((908433.4348778214 7676684.861747535, 908433.4348778214 7681684.861747535, 903433.4348778214 7681684.861747535, 903433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535))",HSL
"POLYGON ((908433.4348778214 7681684.861747535, 908433.4348778214 7686684.861747535, 903433.4348778214 7686684.861747535, 903433.4348778214 7681684.861747535, 908433.4348778214 7681684.861747535))",HSL
"POLYGON ((908433.4348778214 7686684.861747535, 908433.4348778214 7691684.861747535, 903433.4348778214 7691684.861747535, 903433.4348778214 7686684.861747535, 908433.4348778214 7686684.861747535))",HSL
"POLYGON ((913433.4348778214 7461684.861747535, 913433.4348778214 7466684.861747535, 908433.4348778214 7466684.861747535, 908433.4348778214 7461684.861747535, 913433.4348778214 7461684.861747535))",ES
"POLYGON ((913433.4348778214 7466684.861747535, 913433.4348778214 7471684.861747535, 908433.4348778214 7471684.861747535, 908433.4348778214 7466684.861747535, 913433.4348778214 7466684.861747535))",ES
"POLYGON ((913433.4348778214 7471684.861747535, 913433.4348778214 7476684.861747535, 908433.4348778214 7476684.861747535, 908433.4348778214 7471684.861747535, 913433.4348778214 7471684.861747535))",ES
