,geometry,soiltype
309,"POLYGON ((1008433.434877821 7536684.861747535, 1008433.434877821 7546684.861747535, 998433.4348778214 7546684.861747535, 998433.4348778214 7536684.861747535, 1008433.434877821 7536684.861747535))",DSG
310,"POLYGON ((1008433.434877821 7546684.861747535, 1008433.434877821 7556684.861747535, 998433.4348778214 7556684.861747535, 998433.4348778214 7546684.861747535, 1008433.434877821 7546684.861747535))",ES
311,"POLYGON ((1008433.434877821 7556684.861747535, 1008433.434877821 7566684.861747535, 998433.4348778214 7566684.861747535, 998433.4348778214 7556684.861747535, 1008433.434877821 7556684.861747535))",T
312,"POLYGON ((1008433.434877821 7566684.861747535, 1008433.434877821 7576684.861747535, 998433.4348778214 7576684.861747535, 998433.4348778214 7566684.861747535, 1008433.434877821 7566684.861747535))",DSG
313,"POLYGON ((1008433.434877821 7576684.861747535, 1008433.434877821 7586684.861747535, 998433.4348778214 7586684.861747535, 998433.4348778214 7576684.861747535, 1008433.434877821 7576684.861747535))",F
314,"POLYGON ((1008433.434877821 7586684.861747535, 1008433.434877821 7596684.861747535, 998433.4348778214 7596684.861747535, 998433.4348778214 7586684.861747535, 1008433.434877821 7586684.861747535))",DSG
315,"POLYGON ((1008433.434877821 7596684.861747535, 1008433.434877821 7606684.861747535, 998433.4348778214 7606684.861747535, 998433.4348778214 7596684.861747535, 1008433.434877821 7596684.861747535))",T
316,"POLYGON ((1008433.434877821 7606684.861747535, 1008433.434877821 7616684.861747535, 998433.4348778214 7616684.861747535, 998433.4348778214 7606684.861747535, 1008433.434877821 7606684.861747535))",F
317,"POLYGON ((1008433.434877821 7616684.861747535, 1008433.434877821 7626684.861747535, 998433.4348778214 7626684.861747535, 998433.4348778214 7616684.861747535, 1008433.434877821 7616684.861747535))",T
318,"POLYGON ((1008433.434877821 7626684.861747535, 1008433.434877821 7636684.861747535, 998433.4348778214 7636684.861747535, 998433.4348778214 7626684.861747535, 1008433.434877821 7626684.861747535))",T
319,"POLYGON ((1008433.434877821 7636684.861747535, 1008433.434877821 7646684.861747535, 998433.4348778214 7646684.861747535, 998433.4348778214 7636684.861747535, 1008433.434877821 7636684.861747535))",T
320,"POLYGON ((1008433.434877821 7646684.861747535, 1008433.434877821 7656684.861747535, 998433.4348778214 7656684.861747535, 998433.4348778214 7646684.861747535, 1008433.434877821 7646684.861747535))",MSG
321,"POLYGON ((1008433.434877821 7656684.861747535, 1008433.434877821 7666684.861747535, 998433.4348778214 7666684.861747535, 998433.4348778214 7656684.861747535, 1008433.434877821 7656684.861747535))",T
322,"POLYGON ((1008433.434877821 7666684.861747535, 1008433.434877821 7676684.861747535, 998433.4348778214 7676684.861747535, 998433.4348778214 7666684.861747535, 1008433.434877821 7666684.861747535))",HSL
323,"POLYGON ((1008433.434877821 7676684.861747535, 1008433.434877821 7686684.861747535, 998433.4348778214 7686684.861747535, 998433.4348778214 7676684.861747535, 1008433.434877821 7676684.861747535))",F
324,"POLYGON ((1008433.434877821 7686684.861747535, 1008433.434877821 7696684.861747535, 998433.4348778214 7696684.861747535, 998433.4348778214 7686684.861747535, 1008433.434877821 7686684.861747535))",ML
325,"POLYGON ((1008433.434877821 7696684.861747535, 1008433.434877821 7706684.861747535, 998433.4348778214 7706684.861747535, 998433.4348778214 7696684.861747535, 1008433.434877821 7696684.861747535))",ML
326,"POLYGON ((1008433.434877821 7706684.861747535, 1008433.434877821 7716684.861747535, 998433.4348778214 7716684.861747535, 998433.4348778214 7706684.861747535, 1008433.434877821 7706684.861747535))",F
327,"POLYGON ((1008433.434877821 7716684.861747535, 1008433.434877821 7726684.861747535, 998433.4348778214 7726684.861747535, 998433.4348778214 7716684.861747535, 1008433.434877821 7716684.861747535))",ML
328,"POLYGON ((1008433.434877821 7766684.861747535, 1008433.434877821 7776684.861747535, 998433.4348778214 7776684.861747535, 998433.4348778214 7766684.861747535, 1008433.434877821 7766684.861747535))",ML
329,"POLYGON ((1008433.434877821 7776684.861747535, 1008433.434877821 7786684.861747535, 998433.4348778214 7786684.861747535, 998433.4348778214 7776684.861747535, 1008433.434877821 7776684.861747535))",HSL
330,"POLYGON ((1008433.434877821 7786684.861747535, 1008433.434877821 7796684.861747535, 998433.4348778214 7796684.861747535, 998433.4348778214 7786684.861747535, 1008433.434877821 7786684.861747535))",ES
331,"POLYGON ((1018433.434877821 7336684.861747535, 1018433.434877821 7346684.861747535, 1008433.434877821 7346684.861747535, 1008433.434877821 7336684.861747535, 1018433.434877821 7336684.861747535))",T
332,"POLYGON ((1018433.434877821 7346684.861747535, 1018433.434877821 7356684.861747535, 1008433.434877821 7356684.861747535, 1008433.434877821 7346684.861747535, 1018433.434877821 7346684.861747535))",T
333,"POLYGON ((1018433.434877821 7356684.861747535, 1018433.434877821 7366684.861747535, 1008433.434877821 7366684.861747535, 1008433.434877821 7356684.861747535, 1018433.434877821 7356684.861747535))",T
334,"POLYGON ((1018433.434877821 7366684.861747535, 1018433.434877821 7376684.861747535, 1008433.434877821 7376684.861747535, 1008433.434877821 7366684.861747535, 1018433.434877821 7366684.861747535))",F
335,"POLYGON ((1018433.434877821 7376684.861747535, 1018433.434877821 7386684.861747535, 1008433.434877821 7386684.861747535, 1008433.434877821 7376684.861747535, 1018433.434877821 7376684.861747535))",ML
336,"POLYGON ((1018433.434877821 7386684.861747535, 1018433.434877821 7396684.861747535, 1008433.434877821 7396684.861747535, 1008433.434877821 7386684.861747535, 1018433.434877821 7386684.861747535))",ML
337,"POLYGON ((1018433.434877821 7396684.861747535, 1018433.434877821 7406684.861747535, 1008433.434877821 7406684.861747535, 1008433.434877821 7396684.861747535, 1018433.434877821 7396684.861747535))",F
338,"POLYGON ((1018433.434877821 7406684.861747535, 1018433.434877821 7416684.861747535, 1008433.434877821 7416684.861747535, 1008433.434877821 7406684.861747535, 1018433.434877821 7406684.861747535))",DSG
339,"POLYGON ((1018433.434877821 7416684.861747535, 1018433.434877821 7426684.861747535, 1008433.434877821 7426684.861747535, 1008433.434877821 7416684.861747535, 1018433.434877821 7416684.861747535))",ML
340,"POLYGON ((1018433.434877821 7426684.861747535, 1018433.434877821 7436684.861747535, 1008433.434877821 7436684.861747535, 1008433.434877821 7426684.861747535, 1018433.434877821 7426684.861747535))",ML
341,"POLYGON ((1018433.434877821 7436684.861747535, 1018433.434877821 7446684.861747535, 1008433.434877821 7446684.861747535, 1008433.434877821 7436684.861747535, 1018433.434877821 7436684.861747535))",ML
342,"POLYGON ((1018433.434877821 7446684.861747535, 1018433.434877821 7456684.861747535, 1008433.434877821 7456684.861747535, 1008433.434877821 7446684.861747535, 1018433.434877821 7446684.861747535))",DSG
343,"POLYGON ((1018433.434877821 7456684.861747535, 1018433.434877821 7466684.861747535, 1008433.434877821 7466684.861747535, 1008433.434877821 7456684.861747535, 1018433.434877821 7456684.861747535))",ML
344,"POLYGON ((1018433.434877821 7466684.861747535, 1018433.434877821 7476684.861747535, 1008433.434877821 7476684.861747535, 1008433.434877821 7466684.861747535, 1018433.434877821 7466684.861747535))",ML
345,"POLYGON ((1018433.434877821 7476684.861747535, 1018433.434877821 7486684.861747535, 1008433.434877821 7486684.861747535, 1008433.434877821 7476684.861747535, 1018433.434877821 7476684.861747535))",ML
346,"POLYGON ((1018433.434877821 7486684.861747535, 1018433.434877821 7496684.861747535, 1008433.434877821 7496684.861747535, 1008433.434877821 7486684.861747535, 1018433.434877821 7486684.861747535))",DSG
347,"POLYGON ((1018433.434877821 7496684.861747535, 1018433.434877821 7506684.861747535, 1008433.434877821 7506684.861747535, 1008433.434877821 7496684.861747535, 1018433.434877821 7496684.861747535))",T
348,"POLYGON ((1018433.434877821 7506684.861747535, 1018433.434877821 7516684.861747535, 1008433.434877821 7516684.861747535, 1008433.434877821 7506684.861747535, 1018433.434877821 7506684.861747535))",F
349,"POLYGON ((1018433.434877821 7516684.861747535, 1018433.434877821 7526684.861747535, 1008433.434877821 7526684.861747535, 1008433.434877821 7516684.861747535, 1018433.434877821 7516684.861747535))",ES
350,"POLYGON ((1018433.434877821 7526684.861747535, 1018433.434877821 7536684.861747535, 1008433.434877821 7536684.861747535, 1008433.434877821 7526684.861747535, 1018433.434877821 7526684.861747535))",F
351,"POLYGON ((1018433.434877821 7536684.861747535, 1018433.434877821 7546684.861747535, 1008433.434877821 7546684.861747535, 1008433.434877821 7536684.861747535, 1018433.434877821 7536684.861747535))",DSG
352,"POLYGON ((1018433.434877821 7546684.861747535, 1018433.434877821 7556684.861747535, 1008433.434877821 7556684.861747535, 1008433.434877821 7546684.861747535, 1018433.434877821 7546684.861747535))",T
353,"POLYGON ((1018433.434877821 7556684.861747535, 1018433.434877821 7566684.861747535, 1008433.434877821 7566684.861747535, 1008433.434877821 7556684.861747535, 1018433.434877821 7556684.861747535))",GC
354,"POLYGON ((1018433.434877821 7566684.861747535, 1018433.434877821 7576684.861747535, 1008433.434877821 7576684.861747535, 1008433.434877821 7566684.861747535, 1018433.434877821 7566684.861747535))",T
355,"POLYGON ((1018433.434877821 7576684.861747535, 1018433.434877821 7586684.861747535, 1008433.434877821 7586684.861747535, 1008433.434877821 7576684.861747535, 1018433.434877821 7576684.861747535))",DSG
356,"POLYGON ((1018433.434877821 7586684.861747535, 1018433.434877821 7596684.861747535, 1008433.434877821 7596684.861747535, 1008433.434877821 7586684.861747535, 1018433.434877821 7586684.861747535))",T
357,"POLYGON ((1018433.434877821 7596684.861747535, 1018433.434877821 7606684.861747535, 1008433.434877821 7606684.861747535, 1008433.434877821 7596684.861747535, 1018433.434877821 7596684.861747535))",T
358,"POLYGON ((1018433.434877821 7606684.861747535, 1018433.434877821 7616684.861747535, 1008433.434877821 7616684.861747535, 1008433.434877821 7606684.861747535, 1018433.434877821 7606684.861747535))",T
359,"POLYGON ((1018433.434877821 7616684.861747535, 1018433.434877821 7626684.861747535, 1008433.434877821 7626684.861747535, 1008433.434877821 7616684.861747535, 1018433.434877821 7616684.861747535))",T
360,"POLYGON ((1018433.434877821 7626684.861747535, 1018433.434877821 7636684.861747535, 1008433.434877821 7636684.861747535, 1008433.434877821 7626684.861747535, 1018433.434877821 7626684.861747535))",T
361,"POLYGON ((1018433.434877821 7636684.861747535, 1018433.434877821 7646684.861747535, 1008433.434877821 7646684.861747535, 1008433.434877821 7636684.861747535, 1018433.434877821 7636684.861747535))",MSG
362,"POLYGON ((1018433.434877821 7646684.861747535, 1018433.434877821 7656684.861747535, 1008433.434877821 7656684.861747535, 1008433.434877821 7646684.861747535, 1018433.434877821 7646684.861747535))",MSG
363,"POLYGON ((1018433.434877821 7656684.861747535, 1018433.434877821 7666684.861747535, 1008433.434877821 7666684.861747535, 1008433.434877821 7656684.861747535, 1018433.434877821 7656684.861747535))",MSG
364,"POLYGON ((1018433.434877821 7666684.861747535, 1018433.434877821 7676684.861747535, 1008433.434877821 7676684.861747535, 1008433.434877821 7666684.861747535, 1018433.434877821 7666684.861747535))",HSL
365,"POLYGON ((1018433.434877821 7696684.861747535, 1018433.434877821 7706684.861747535, 1008433.434877821 7706684.861747535, 1008433.434877821 7696684.861747535, 1018433.434877821 7696684.861747535))",DSG
366,"POLYGON ((1018433.434877821 7706684.861747535, 1018433.434877821 7716684.861747535, 1008433.434877821 7716684.861747535, 1008433.434877821 7706684.861747535, 1018433.434877821 7706684.861747535))",MSG
367,"POLYGON ((1018433.434877821 7766684.861747535, 1018433.434877821 7776684.861747535, 1008433.434877821 7776684.861747535, 1008433.434877821 7766684.861747535, 1018433.434877821 7766684.861747535))",HSL
368,"POLYGON ((1018433.434877821 7776684.861747535, 1018433.434877821 7786684.861747535, 1008433.434877821 7786684.861747535, 1008433.434877821 7776684.861747535, 1018433.434877821 7776684.861747535))",F
369,"POLYGON ((1028433.434877821 7336684.861747535, 1028433.434877821 7346684.861747535, 1018433.434877821 7346684.861747535, 1018433.434877821 7336684.861747535, 1028433.434877821 7336684.861747535))",ES
370,"POLYGON ((1028433.434877821 7346684.861747535, 1028433.434877821 7356684.861747535, 1018433.434877821 7356684.861747535, 1018433.434877821 7346684.861747535, 1028433.434877821 7346684.861747535))",T
371,"POLYGON ((1028433.434877821 7356684.861747535, 1028433.434877821 7366684.861747535, 1018433.434877821 7366684.861747535, 1018433.434877821 7356684.861747535, 1028433.434877821 7356684.861747535))",T
372,"POLYGON ((1028433.434877821 7366684.861747535, 1028433.434877821 7376684.861747535, 1018433.434877821 7376684.861747535, 1018433.434877821 7366684.861747535, 1028433.434877821 7366684.861747535))",T
373,"POLYGON ((1028433.434877821 7376684.861747535, 1028433.434877821 7386684.861747535, 1018433.434877821 7386684.861747535, 1018433.434877821 7376684.861747535, 1028433.434877821 7376684.861747535))",DSG
374,"POLYGON ((1028433.434877821 7386684.861747535, 1028433.434877821 7396684.861747535, 1018433.434877821 7396684.861747535, 1018433.434877821 7386684.861747535, 1028433.434877821 7386684.861747535))",DSG
375,"POLYGON ((1028433.434877821 7396684.861747535, 1028433.434877821 7406684.861747535, 1018433.434877821 7406684.861747535, 1018433.434877821 7396684.861747535, 1028433.434877821 7396684.861747535))",F
376,"POLYGON ((1028433.434877821 7406684.861747535, 1028433.434877821 7416684.861747535, 1018433.434877821 7416684.861747535, 1018433.434877821 7406684.861747535, 1028433.434877821 7406684.861747535))",DSG
377,"POLYGON ((1028433.434877821 7416684.861747535, 1028433.434877821 7426684.861747535, 1018433.434877821 7426684.861747535, 1018433.434877821 7416684.861747535, 1028433.434877821 7416684.861747535))",T
378,"POLYGON ((1028433.434877821 7426684.861747535, 1028433.434877821 7436684.861747535, 1018433.434877821 7436684.861747535, 1018433.434877821 7426684.861747535, 1028433.434877821 7426684.861747535))",DSG
379,"POLYGON ((1028433.434877821 7436684.861747535, 1028433.434877821 7446684.861747535, 1018433.434877821 7446684.861747535, 1018433.434877821 7436684.861747535, 1028433.434877821 7436684.861747535))",ML
380,"POLYGON ((1028433.434877821 7446684.861747535, 1028433.434877821 7456684.861747535, 1018433.434877821 7456684.861747535, 1018433.434877821 7446684.861747535, 1028433.434877821 7446684.861747535))",T
381,"POLYGON ((1028433.434877821 7456684.861747535, 1028433.434877821 7466684.861747535, 1018433.434877821 7466684.861747535, 1018433.434877821 7456684.861747535, 1028433.434877821 7456684.861747535))",ML
382,"POLYGON ((1028433.434877821 7466684.861747535, 1028433.434877821 7476684.861747535, 1018433.434877821 7476684.861747535, 1018433.434877821 7466684.861747535, 1028433.434877821 7466684.861747535))",F
383,"POLYGON ((1028433.434877821 7476684.861747535, 1028433.434877821 7486684.861747535, 1018433.434877821 7486684.861747535, 1018433.434877821 7476684.861747535, 1028433.434877821 7476684.861747535))",DSG
384,"POLYGON ((1028433.434877821 7486684.861747535, 1028433.434877821 7496684.861747535, 1018433.434877821 7496684.861747535, 1018433.434877821 7486684.861747535, 1028433.434877821 7486684.861747535))",ES
385,"POLYGON ((1028433.434877821 7496684.861747535, 1028433.434877821 7506684.861747535, 1018433.434877821 7506684.861747535, 1018433.434877821 7496684.861747535, 1028433.434877821 7496684.861747535))",DL
386,"POLYGON ((1028433.434877821 7506684.861747535, 1028433.434877821 7516684.861747535, 1018433.434877821 7516684.861747535, 1018433.434877821 7506684.861747535, 1028433.434877821 7506684.861747535))",F
387,"POLYGON ((1028433.434877821 7516684.861747535, 1028433.434877821 7526684.861747535, 1018433.434877821 7526684.861747535, 1018433.434877821 7516684.861747535, 1028433.434877821 7516684.861747535))",T
388,"POLYGON ((1028433.434877821 7526684.861747535, 1028433.434877821 7536684.861747535, 1018433.434877821 7536684.861747535, 1018433.434877821 7526684.861747535, 1028433.434877821 7526684.861747535))",DSG
389,"POLYGON ((1028433.434877821 7536684.861747535, 1028433.434877821 7546684.861747535, 1018433.434877821 7546684.861747535, 1018433.434877821 7536684.861747535, 1028433.434877821 7536684.861747535))",F
390,"POLYGON ((1028433.434877821 7546684.861747535, 1028433.434877821 7556684.861747535, 1018433.434877821 7556684.861747535, 1018433.434877821 7546684.861747535, 1028433.434877821 7546684.861747535))",ES
391,"POLYGON ((1028433.434877821 7556684.861747535, 1028433.434877821 7566684.861747535, 1018433.434877821 7566684.861747535, 1018433.434877821 7556684.861747535, 1028433.434877821 7556684.861747535))",T
392,"POLYGON ((1028433.434877821 7566684.861747535, 1028433.434877821 7576684.861747535, 1018433.434877821 7576684.861747535, 1018433.434877821 7566684.861747535, 1028433.434877821 7566684.861747535))",DSG
393,"POLYGON ((1028433.434877821 7576684.861747535, 1028433.434877821 7586684.861747535, 1018433.434877821 7586684.861747535, 1018433.434877821 7576684.861747535, 1028433.434877821 7576684.861747535))",DSG
394,"POLYGON ((1028433.434877821 7586684.861747535, 1028433.434877821 7596684.861747535, 1018433.434877821 7596684.861747535, 1018433.434877821 7586684.861747535, 1028433.434877821 7586684.861747535))",T
395,"POLYGON ((1028433.434877821 7596684.861747535, 1028433.434877821 7606684.861747535, 1018433.434877821 7606684.861747535, 1018433.434877821 7596684.861747535, 1028433.434877821 7596684.861747535))",T
396,"POLYGON ((1028433.434877821 7606684.861747535, 1028433.434877821 7616684.861747535, 1018433.434877821 7616684.861747535, 1018433.434877821 7606684.861747535, 1028433.434877821 7606684.861747535))",T
397,"POLYGON ((1028433.434877821 7616684.861747535, 1028433.434877821 7626684.861747535, 1018433.434877821 7626684.861747535, 1018433.434877821 7616684.861747535, 1028433.434877821 7616684.861747535))",T
398,"POLYGON ((1028433.434877821 7626684.861747535, 1028433.434877821 7636684.861747535, 1018433.434877821 7636684.861747535, 1018433.434877821 7626684.861747535, 1028433.434877821 7626684.861747535))",T
399,"POLYGON ((1028433.434877821 7636684.861747535, 1028433.434877821 7646684.861747535, 1018433.434877821 7646684.861747535, 1018433.434877821 7636684.861747535, 1028433.434877821 7636684.861747535))",MSG
400,"POLYGON ((1028433.434877821 7646684.861747535, 1028433.434877821 7656684.861747535, 1018433.434877821 7656684.861747535, 1018433.434877821 7646684.861747535, 1028433.434877821 7646684.861747535))",DSG
401,"POLYGON ((1028433.434877821 7656684.861747535, 1028433.434877821 7666684.861747535, 1018433.434877821 7666684.861747535, 1018433.434877821 7656684.861747535, 1028433.434877821 7656684.861747535))",T
402,"POLYGON ((1028433.434877821 7666684.861747535, 1028433.434877821 7676684.861747535, 1018433.434877821 7676684.861747535, 1018433.434877821 7666684.861747535, 1028433.434877821 7666684.861747535))",DSG
403,"POLYGON ((1028433.434877821 7676684.861747535, 1028433.434877821 7686684.861747535, 1018433.434877821 7686684.861747535, 1018433.434877821 7676684.861747535, 1028433.434877821 7676684.861747535))",MSG
404,"POLYGON ((1028433.434877821 7716684.861747535, 1028433.434877821 7726684.861747535, 1018433.434877821 7726684.861747535, 1018433.434877821 7716684.861747535, 1028433.434877821 7716684.861747535))",MSG
405,"POLYGON ((1028433.434877821 7736684.861747535, 1028433.434877821 7746684.861747535, 1018433.434877821 7746684.861747535, 1018433.434877821 7736684.861747535, 1028433.434877821 7736684.861747535))",ML
406,"POLYGON ((1028433.434877821 7766684.861747535, 1028433.434877821 7776684.861747535, 1018433.434877821 7776684.861747535, 1018433.434877821 7766684.861747535, 1028433.434877821 7766684.861747535))",HSL
407,"POLYGON ((1028433.434877821 7776684.861747535, 1028433.434877821 7786684.861747535, 1018433.434877821 7786684.861747535, 1018433.434877821 7776684.861747535, 1028433.434877821 7776684.861747535))",HSL
408,"POLYGON ((1038433.434877821 7326684.861747535, 1038433.434877821 7336684.861747535, 1028433.434877821 7336684.861747535, 1028433.434877821 7326684.861747535, 1038433.434877821 7326684.861747535))",T
409,"POLYGON ((1038433.434877821 7336684.861747535, 1038433.434877821 7346684.861747535, 1028433.434877821 7346684.861747535, 1028433.434877821 7336684.861747535, 1038433.434877821 7336684.861747535))",T
410,"POLYGON ((1038433.434877821 7346684.861747535, 1038433.434877821 7356684.861747535, 1028433.434877821 7356684.861747535, 1028433.434877821 7346684.861747535, 1038433.434877821 7346684.861747535))",F
411,"POLYGON ((1038433.434877821 7356684.861747535, 1038433.434877821 7366684.861747535, 1028433.434877821 7366684.861747535, 1028433.434877821 7356684.861747535, 1038433.434877821 7356684.861747535))",T
412,"POLYGON ((1038433.434877821 7366684.861747535, 1038433.434877821 7376684.861747535, 1028433.434877821 7376684.861747535, 1028433.434877821 7366684.861747535, 1038433.434877821 7366684.861747535))",T
413,"POLYGON ((1038433.434877821 7376684.861747535, 1038433.434877821 7386684.861747535, 1028433.434877821 7386684.861747535, 1028433.434877821 7376684.861747535, 1038433.434877821 7376684.861747535))",DSG
414,"POLYGON ((1038433.434877821 7386684.861747535, 1038433.434877821 7396684.861747535, 1028433.434877821 7396684.861747535, 1028433.434877821 7386684.861747535, 1038433.434877821 7386684.861747535))",ML
415,"POLYGON ((1038433.434877821 7396684.861747535, 1038433.434877821 7406684.861747535, 1028433.434877821 7406684.861747535, 1028433.434877821 7396684.861747535, 1038433.434877821 7396684.861747535))",T
416,"POLYGON ((1038433.434877821 7406684.861747535, 1038433.434877821 7416684.861747535, 1028433.434877821 7416684.861747535, 1028433.434877821 7406684.861747535, 1038433.434877821 7406684.861747535))",DSG
417,"POLYGON ((1038433.434877821 7416684.861747535, 1038433.434877821 7426684.861747535, 1028433.434877821 7426684.861747535, 1028433.434877821 7416684.861747535, 1038433.434877821 7416684.861747535))",DSG
418,"POLYGON ((1038433.434877821 7426684.861747535, 1038433.434877821 7436684.861747535, 1028433.434877821 7436684.861747535, 1028433.434877821 7426684.861747535, 1038433.434877821 7426684.861747535))",ML
419,"POLYGON ((1038433.434877821 7436684.861747535, 1038433.434877821 7446684.861747535, 1028433.434877821 7446684.861747535, 1028433.434877821 7436684.861747535, 1038433.434877821 7436684.861747535))",ML
420,"POLYGON ((1038433.434877821 7446684.861747535, 1038433.434877821 7456684.861747535, 1028433.434877821 7456684.861747535, 1028433.434877821 7446684.861747535, 1038433.434877821 7446684.861747535))",T
421,"POLYGON ((1038433.434877821 7456684.861747535, 1038433.434877821 7466684.861747535, 1028433.434877821 7466684.861747535, 1028433.434877821 7456684.861747535, 1038433.434877821 7456684.861747535))",DSG
422,"POLYGON ((1038433.434877821 7466684.861747535, 1038433.434877821 7476684.861747535, 1028433.434877821 7476684.861747535, 1028433.434877821 7466684.861747535, 1038433.434877821 7466684.861747535))",DSG
423,"POLYGON ((1038433.434877821 7476684.861747535, 1038433.434877821 7486684.861747535, 1028433.434877821 7486684.861747535, 1028433.434877821 7476684.861747535, 1038433.434877821 7476684.861747535))",ES
424,"POLYGON ((1038433.434877821 7486684.861747535, 1038433.434877821 7496684.861747535, 1028433.434877821 7496684.861747535, 1028433.434877821 7486684.861747535, 1038433.434877821 7486684.861747535))",DSG
425,"POLYGON ((1038433.434877821 7496684.861747535, 1038433.434877821 7506684.861747535, 1028433.434877821 7506684.861747535, 1028433.434877821 7496684.861747535, 1038433.434877821 7496684.861747535))",DSG
426,"POLYGON ((1038433.434877821 7506684.861747535, 1038433.434877821 7516684.861747535, 1028433.434877821 7516684.861747535, 1028433.434877821 7506684.861747535, 1038433.434877821 7506684.861747535))",DSG
427,"POLYGON ((1038433.434877821 7516684.861747535, 1038433.434877821 7526684.861747535, 1028433.434877821 7526684.861747535, 1028433.434877821 7516684.861747535, 1038433.434877821 7516684.861747535))",ES
428,"POLYGON ((1038433.434877821 7526684.861747535, 1038433.434877821 7536684.861747535, 1028433.434877821 7536684.861747535, 1028433.434877821 7526684.861747535, 1038433.434877821 7526684.861747535))",ML
429,"POLYGON ((1038433.434877821 7536684.861747535, 1038433.434877821 7546684.861747535, 1028433.434877821 7546684.861747535, 1028433.434877821 7536684.861747535, 1038433.434877821 7536684.861747535))",F
430,"POLYGON ((1038433.434877821 7546684.861747535, 1038433.434877821 7556684.861747535, 1028433.434877821 7556684.861747535, 1028433.434877821 7546684.861747535, 1038433.434877821 7546684.861747535))",T
431,"POLYGON ((1038433.434877821 7556684.861747535, 1038433.434877821 7566684.861747535, 1028433.434877821 7566684.861747535, 1028433.434877821 7556684.861747535, 1038433.434877821 7556684.861747535))",ES
432,"POLYGON ((1038433.434877821 7566684.861747535, 1038433.434877821 7576684.861747535, 1028433.434877821 7576684.861747535, 1028433.434877821 7566684.861747535, 1038433.434877821 7566684.861747535))",T
433,"POLYGON ((1038433.434877821 7576684.861747535, 1038433.434877821 7586684.861747535, 1028433.434877821 7586684.861747535, 1028433.434877821 7576684.861747535, 1038433.434877821 7576684.861747535))",ES
434,"POLYGON ((1038433.434877821 7586684.861747535, 1038433.434877821 7596684.861747535, 1028433.434877821 7596684.861747535, 1028433.434877821 7586684.861747535, 1038433.434877821 7586684.861747535))",T
435,"POLYGON ((1038433.434877821 7596684.861747535, 1038433.434877821 7606684.861747535, 1028433.434877821 7606684.861747535, 1028433.434877821 7596684.861747535, 1038433.434877821 7596684.861747535))",T
436,"POLYGON ((1038433.434877821 7606684.861747535, 1038433.434877821 7616684.861747535, 1028433.434877821 7616684.861747535, 1028433.434877821 7606684.861747535, 1038433.434877821 7606684.861747535))",T
437,"POLYGON ((1038433.434877821 7616684.861747535, 1038433.434877821 7626684.861747535, 1028433.434877821 7626684.861747535, 1028433.434877821 7616684.861747535, 1038433.434877821 7616684.861747535))",T
438,"POLYGON ((1038433.434877821 7626684.861747535, 1038433.434877821 7636684.861747535, 1028433.434877821 7636684.861747535, 1028433.434877821 7626684.861747535, 1038433.434877821 7626684.861747535))",T
439,"POLYGON ((1038433.434877821 7636684.861747535, 1038433.434877821 7646684.861747535, 1028433.434877821 7646684.861747535, 1028433.434877821 7636684.861747535, 1038433.434877821 7636684.861747535))",DSG
440,"POLYGON ((1038433.434877821 7646684.861747535, 1038433.434877821 7656684.861747535, 1028433.434877821 7656684.861747535, 1028433.434877821 7646684.861747535, 1038433.434877821 7646684.861747535))",MSG
441,"POLYGON ((1038433.434877821 7656684.861747535, 1038433.434877821 7666684.861747535, 1028433.434877821 7666684.861747535, 1028433.434877821 7656684.861747535, 1038433.434877821 7656684.861747535))",DSG
442,"POLYGON ((1038433.434877821 7676684.861747535, 1038433.434877821 7686684.861747535, 1028433.434877821 7686684.861747535, 1028433.434877821 7676684.861747535, 1038433.434877821 7676684.861747535))",T
443,"POLYGON ((1038433.434877821 7696684.861747535, 1038433.434877821 7706684.861747535, 1028433.434877821 7706684.861747535, 1028433.434877821 7696684.861747535, 1038433.434877821 7696684.861747535))",DSG
444,"POLYGON ((1038433.434877821 7706684.861747535, 1038433.434877821 7716684.861747535, 1028433.434877821 7716684.861747535, 1028433.434877821 7706684.861747535, 1038433.434877821 7706684.861747535))",DSG
445,"POLYGON ((1038433.434877821 7716684.861747535, 1038433.434877821 7726684.861747535, 1028433.434877821 7726684.861747535, 1028433.434877821 7716684.861747535, 1038433.434877821 7716684.861747535))",DSG
446,"POLYGON ((1038433.434877821 7726684.861747535, 1038433.434877821 7736684.861747535, 1028433.434877821 7736684.861747535, 1028433.434877821 7726684.861747535, 1038433.434877821 7726684.861747535))",MSG
447,"POLYGON ((1038433.434877821 7736684.861747535, 1038433.434877821 7746684.861747535, 1028433.434877821 7746684.861747535, 1028433.434877821 7736684.861747535, 1038433.434877821 7736684.861747535))",ML
448,"POLYGON ((1038433.434877821 7746684.861747535, 1038433.434877821 7756684.861747535, 1028433.434877821 7756684.861747535, 1028433.434877821 7746684.861747535, 1038433.434877821 7746684.861747535))",F
449,"POLYGON ((1038433.434877821 7756684.861747535, 1038433.434877821 7766684.861747535, 1028433.434877821 7766684.861747535, 1028433.434877821 7756684.861747535, 1038433.434877821 7756684.861747535))",HSL
450,"POLYGON ((1038433.434877821 7766684.861747535, 1038433.434877821 7776684.861747535, 1028433.434877821 7776684.861747535, 1028433.434877821 7766684.861747535, 1038433.434877821 7766684.861747535))",DSG
