,Unnamed: 0,stationId,geometry,x,y,minTempJanuary,minTempFebruary,minTempMarch,minTempApril,minTempMay,minTempJune,minTempJuly,minTempAugust,minTempSeptember,minTempOctober,minTempNovember,minTempDecember,yearlyAverage
35,35,6065,POINT (9.5067 56.7558),9.5067,56.7558,-8.5,-9.2,-7.399999999999999,-3.7,-0.1,7.5,6.3,5.7,3.8,-0.4,-3.1,-4.4,-2.0
36,36,6124,POINT (10.5693 55.0144),10.5693,55.0144,-6.699999999999999,-5.8,-3.95,-2.5,1.5,8.2,6.9,6.4,6.6,3.3,-1.6,-3.2,0.0
37,37,6072,POINT (10.1272 56.3027),10.1272,56.3027,-8.45,-7.949999999999999,-6.55,-2.1,1.1,6.9,6.5,7.8,5.1,0.7,-3.4,-3.5,-1.0
38,38,6041,POINT (10.6316 57.7364),10.6316,57.7364,-6.800000000000001,-8.5,-5.95,-0.7,1.3,10.4,9.5,10.3,7.3,3.1,-0.2,-2.4,1.0
39,39,6051,POINT (8.3207 56.7637),8.3207,56.7637,-7.399999999999999,-7.5,-6.25,-1.1,3.0,9.6,11.6,10.1,5.6,3.0,-2.6,-4.6,0.0
40,40,6188,POINT (12.4121 55.8764),12.4121,55.8764,-10.3,-9.8,-6.3,-4.3,-1.4,6.2,6.8,6.0,4.2,-0.4,-4.0,-3.4,-2.0
41,41,6149,POINT (11.9435 54.5687),11.9435,54.5687,-6.25,-6.45,-4.2,-1.3,1.7,10.6,9.5,8.7,5.8,4.3,0.5,-0.6,1.0
42,42,6184,POINT (12.562 55.716),12.562,55.716,-7.85,-7.4,-4.5,-1.8,2.1,8.9,9.4,7.6,6.2,2.1,-2.2,-1.5,0.0
43,43,6151,POINT (11.1348 55.1593),11.1348,55.1593,-6.25,-6.0,-3.85,0.2,5.1,10.5,9.8,11.8,6.6,4.9,-0.4,-0.7,2.0
44,44,6074,POINT (10.1353 56.0803),10.1353,56.0803,-9.0,-8.15,-8.2,-2.1,-0.5,7.1,5.0,6.2,3.4,-0.9,-4.1,-6.1,-2.0
