,geometry
69,"POLYGON ((988433.4348778214 7576684.861747535, 988433.4348778214 7586684.861747535, 978433.4348778214 7586684.861747535, 978433.4348778214 7576684.861747535, 988433.4348778214 7576684.861747535))"
70,"POLYGON ((1668433.434877821 7366684.861747535, 1668433.434877821 7376684.861747535, 1658433.434877821 7376684.861747535, 1658433.434877821 7366684.861747535, 1668433.434877821 7366684.861747535))"
71,"POLYGON ((968433.4348778214 7466684.861747535, 968433.4348778214 7476684.861747535, 958433.4348778214 7476684.861747535, 958433.4348778214 7466684.861747535, 968433.4348778214 7466684.861747535))"
72,"POLYGON ((958433.4348778214 7466684.861747535, 958433.4348778214 7476684.861747535, 948433.4348778214 7476684.861747535, 948433.4348778214 7466684.861747535, 958433.4348778214 7466684.861747535))"
73,"POLYGON ((1168433.434877821 7846684.861747535, 1168433.434877821 7856684.861747535, 1158433.434877821 7856684.861747535, 1158433.434877821 7846684.861747535, 1168433.434877821 7846684.861747535))"
74,"POLYGON ((1328433.434877821 7406684.861747535, 1328433.434877821 7416684.861747535, 1318433.434877821 7416684.861747535, 1318433.434877821 7406684.861747535, 1328433.434877821 7406684.861747535))"
75,"POLYGON ((1058433.434877821 7736684.861747535, 1058433.434877821 7746684.861747535, 1048433.434877821 7746684.861747535, 1048433.434877821 7736684.861747535, 1058433.434877821 7736684.861747535))"
76,"POLYGON ((1158433.434877821 7886684.861747535, 1158433.434877821 7896684.861747535, 1148433.434877821 7896684.861747535, 1148433.434877821 7886684.861747535, 1158433.434877821 7886684.861747535))"
77,"POLYGON ((1178433.434877821 7326684.861747535, 1178433.434877821 7336684.861747535, 1168433.434877821 7336684.861747535, 1168433.434877821 7326684.861747535, 1178433.434877821 7326684.861747535))"
78,"POLYGON ((908433.4348778214 7676684.861747535, 908433.4348778214 7686684.861747535, 898433.4348778214 7686684.861747535, 898433.4348778214 7676684.861747535, 908433.4348778214 7676684.861747535))"
79,"POLYGON ((1258433.434877821 7476684.861747535, 1258433.434877821 7486684.861747535, 1248433.434877821 7486684.861747535, 1248433.434877821 7476684.861747535, 1258433.434877821 7476684.861747535))"
80,"POLYGON ((928433.4348778214 7676684.861747535, 928433.4348778214 7686684.861747535, 918433.4348778214 7686684.861747535, 918433.4348778214 7676684.861747535, 928433.4348778214 7676684.861747535))"
81,"POLYGON ((998433.4348778214 7756684.861747535, 998433.4348778214 7766684.861747535, 988433.4348778214 7766684.861747535, 988433.4348778214 7756684.861747535, 998433.4348778214 7756684.861747535))"
82,"POLYGON ((1108433.434877821 7756684.861747535, 1108433.434877821 7766684.861747535, 1098433.434877821 7766684.861747535, 1098433.434877821 7756684.861747535, 1108433.434877821 7756684.861747535))"
83,"POLYGON ((1318433.434877821 7536684.861747535, 1318433.434877821 7546684.861747535, 1308433.434877821 7546684.861747535, 1308433.434877821 7536684.861747535, 1318433.434877821 7536684.861747535))"
84,"POLYGON ((1168433.434877821 7786684.861747535, 1168433.434877821 7796684.861747535, 1158433.434877821 7796684.861747535, 1158433.434877821 7786684.861747535, 1168433.434877821 7786684.861747535))"
85,"POLYGON ((1268433.434877821 7426684.861747535, 1268433.434877821 7436684.861747535, 1258433.434877821 7436684.861747535, 1258433.434877821 7426684.861747535, 1268433.434877821 7426684.861747535))"
86,"POLYGON ((1358433.434877821 7536684.861747535, 1358433.434877821 7546684.861747535, 1348433.434877821 7546684.861747535, 1348433.434877821 7536684.861747535, 1358433.434877821 7536684.861747535))"
87,"POLYGON ((1298433.434877821 7496684.861747535, 1298433.434877821 7506684.861747535, 1288433.434877821 7506684.861747535, 1288433.434877821 7496684.861747535, 1298433.434877821 7496684.861747535))"
88,"POLYGON ((1278433.434877821 7446684.861747535, 1278433.434877821 7456684.861747535, 1268433.434877821 7456684.861747535, 1268433.434877821 7446684.861747535, 1278433.434877821 7446684.861747535))"
89,"POLYGON ((1108433.434877821 7656684.861747535, 1108433.434877821 7666684.861747535, 1098433.434877821 7666684.861747535, 1098433.434877821 7656684.861747535, 1108433.434877821 7656684.861747535))"
90,"POLYGON ((928433.4348778214 7626684.861747535, 928433.4348778214 7636684.861747535, 918433.4348778214 7636684.861747535, 918433.4348778214 7626684.861747535, 928433.4348778214 7626684.861747535))"
91,"POLYGON ((1158433.434877821 7776684.861747535, 1158433.434877821 7786684.861747535, 1148433.434877821 7786684.861747535, 1148433.434877821 7776684.861747535, 1158433.434877821 7776684.861747535))"
92,"POLYGON ((1088433.434877821 7766684.861747535, 1088433.434877821 7776684.861747535, 1078433.434877821 7776684.861747535, 1078433.434877821 7766684.861747535, 1088433.434877821 7766684.861747535))"
93,"POLYGON ((1178433.434877821 7386684.861747535, 1178433.434877821 7396684.861747535, 1168433.434877821 7396684.861747535, 1168433.434877821 7386684.861747535, 1178433.434877821 7386684.861747535))"
94,"POLYGON ((1168433.434877821 7336684.861747535, 1168433.434877821 7346684.861747535, 1158433.434877821 7346684.861747535, 1158433.434877821 7336684.861747535, 1168433.434877821 7336684.861747535))"
