,geometry
54,"POLYGON ((1128433.434877821 7436684.861747535, 1128433.434877821 7446684.861747535, 1118433.434877821 7446684.861747535, 1118433.434877821 7436684.861747535, 1128433.434877821 7436684.861747535))"
55,"POLYGON ((1148433.434877821 7436684.861747535, 1148433.434877821 7446684.861747535, 1138433.434877821 7446684.861747535, 1138433.434877821 7436684.861747535, 1148433.434877821 7436684.861747535))"
56,"POLYGON ((1068433.434877821 7516684.861747535, 1068433.434877821 7526684.861747535, 1058433.434877821 7526684.861747535, 1058433.434877821 7516684.861747535, 1068433.434877821 7516684.861747535))"
57,"POLYGON ((1298433.434877821 7396684.861747535, 1298433.434877821 7406684.861747535, 1288433.434877821 7406684.861747535, 1288433.434877821 7396684.861747535, 1298433.434877821 7396684.861747535))"
58,"POLYGON ((1128433.434877821 7526684.861747535, 1128433.434877821 7536684.861747535, 1118433.434877821 7536684.861747535, 1118433.434877821 7526684.861747535, 1128433.434877821 7526684.861747535))"
59,"POLYGON ((1338433.434877821 7526684.861747535, 1338433.434877821 7536684.861747535, 1328433.434877821 7536684.861747535, 1328433.434877821 7526684.861747535, 1338433.434877821 7526684.861747535))"
60,"POLYGON ((1208433.434877821 7416684.861747535, 1208433.434877821 7426684.861747535, 1198433.434877821 7426684.861747535, 1198433.434877821 7416684.861747535, 1208433.434877821 7416684.861747535))"
61,"POLYGON ((1138433.434877821 7696684.861747535, 1138433.434877821 7706684.861747535, 1128433.434877821 7706684.861747535, 1128433.434877821 7696684.861747535, 1138433.434877821 7696684.861747535))"
62,"POLYGON ((1358433.434877821 7346684.861747535, 1358433.434877821 7356684.861747535, 1348433.434877821 7356684.861747535, 1348433.434877821 7346684.861747535, 1358433.434877821 7346684.861747535))"
63,"POLYGON ((1208433.434877821 7426684.861747535, 1208433.434877821 7436684.861747535, 1198433.434877821 7436684.861747535, 1198433.434877821 7426684.861747535, 1208433.434877821 7426684.861747535))"
64,"POLYGON ((1138433.434877821 7566684.861747535, 1138433.434877821 7576684.861747535, 1128433.434877821 7576684.861747535, 1128433.434877821 7566684.861747535, 1138433.434877821 7566684.861747535))"
65,"POLYGON ((1348433.434877821 7526684.861747535, 1348433.434877821 7536684.861747535, 1338433.434877821 7536684.861747535, 1338433.434877821 7526684.861747535, 1348433.434877821 7526684.861747535))"
66,"POLYGON ((1118433.434877821 7386684.861747535, 1118433.434877821 7396684.861747535, 1108433.434877821 7396684.861747535, 1108433.434877821 7386684.861747535, 1118433.434877821 7386684.861747535))"
67,"POLYGON ((1108433.434877821 7626684.861747535, 1108433.434877821 7636684.861747535, 1098433.434877821 7636684.861747535, 1098433.434877821 7626684.861747535, 1108433.434877821 7626684.861747535))"
68,"POLYGON ((1058433.434877821 7506684.861747535, 1058433.434877821 7516684.861747535, 1048433.434877821 7516684.861747535, 1048433.434877821 7506684.861747535, 1058433.434877821 7506684.861747535))"
69,"POLYGON ((1138433.434877821 7656684.861747535, 1138433.434877821 7666684.861747535, 1128433.434877821 7666684.861747535, 1128433.434877821 7656684.861747535, 1138433.434877821 7656684.861747535))"
70,"POLYGON ((1328433.434877821 7396684.861747535, 1328433.434877821 7406684.861747535, 1318433.434877821 7406684.861747535, 1318433.434877821 7396684.861747535, 1328433.434877821 7396684.861747535))"
71,"POLYGON ((1188433.434877821 7626684.861747535, 1188433.434877821 7636684.861747535, 1178433.434877821 7636684.861747535, 1178433.434877821 7626684.861747535, 1188433.434877821 7626684.861747535))"
72,"POLYGON ((1218433.434877821 7376684.861747535, 1218433.434877821 7386684.861747535, 1208433.434877821 7386684.861747535, 1208433.434877821 7376684.861747535, 1218433.434877821 7376684.861747535))"
73,"POLYGON ((1088433.434877821 7466684.861747535, 1088433.434877821 7476684.861747535, 1078433.434877821 7476684.861747535, 1078433.434877821 7466684.861747535, 1088433.434877821 7466684.861747535))"
74,"POLYGON ((1378433.434877821 7576684.861747535, 1378433.434877821 7586684.861747535, 1368433.434877821 7586684.861747535, 1368433.434877821 7576684.861747535, 1378433.434877821 7576684.861747535))"
75,"POLYGON ((1318433.434877821 7476684.861747535, 1318433.434877821 7486684.861747535, 1308433.434877821 7486684.861747535, 1308433.434877821 7476684.861747535, 1318433.434877821 7476684.861747535))"
76,"POLYGON ((1178433.434877821 7836684.861747535, 1178433.434877821 7846684.861747535, 1168433.434877821 7846684.861747535, 1168433.434877821 7836684.861747535, 1178433.434877821 7836684.861747535))"
77,"POLYGON ((1348433.434877821 7356684.861747535, 1348433.434877821 7366684.861747535, 1338433.434877821 7366684.861747535, 1338433.434877821 7356684.861747535, 1348433.434877821 7356684.861747535))"
78,"POLYGON ((1138433.434877821 7586684.861747535, 1138433.434877821 7596684.861747535, 1128433.434877821 7596684.861747535, 1128433.434877821 7586684.861747535, 1138433.434877821 7586684.861747535))"
79,"POLYGON ((1138433.434877821 7596684.861747535, 1138433.434877821 7606684.861747535, 1128433.434877821 7606684.861747535, 1128433.434877821 7596684.861747535, 1138433.434877821 7596684.861747535))"
80,"POLYGON ((1068433.434877821 7556684.861747535, 1068433.434877821 7566684.861747535, 1058433.434877821 7566684.861747535, 1058433.434877821 7556684.861747535, 1068433.434877821 7556684.861747535))"
81,"POLYGON ((1398433.434877821 7526684.861747535, 1398433.434877821 7536684.861747535, 1388433.434877821 7536684.861747535, 1388433.434877821 7526684.861747535, 1398433.434877821 7526684.861747535))"
82,"POLYGON ((1118433.434877821 7496684.861747535, 1118433.434877821 7506684.861747535, 1108433.434877821 7506684.861747535, 1108433.434877821 7496684.861747535, 1118433.434877821 7496684.861747535))"
83,"POLYGON ((1338433.434877821 7436684.861747535, 1338433.434877821 7446684.861747535, 1328433.434877821 7446684.861747535, 1328433.434877821 7436684.861747535, 1338433.434877821 7436684.861747535))"
84,"POLYGON ((1338433.434877821 7466684.861747535, 1338433.434877821 7476684.861747535, 1328433.434877821 7476684.861747535, 1328433.434877821 7466684.861747535, 1338433.434877821 7466684.861747535))"
85,"POLYGON ((1338433.434877821 7366684.861747535, 1338433.434877821 7376684.861747535, 1328433.434877821 7376684.861747535, 1328433.434877821 7366684.861747535, 1338433.434877821 7366684.861747535))"
86,"POLYGON ((1298433.434877821 7436684.861747535, 1298433.434877821 7446684.861747535, 1288433.434877821 7446684.861747535, 1288433.434877821 7436684.861747535, 1298433.434877821 7436684.861747535))"
87,"POLYGON ((1318433.434877821 7496684.861747535, 1318433.434877821 7506684.861747535, 1308433.434877821 7506684.861747535, 1308433.434877821 7496684.861747535, 1318433.434877821 7496684.861747535))"
88,"POLYGON ((1048433.434877821 7456684.861747535, 1048433.434877821 7466684.861747535, 1038433.434877821 7466684.861747535, 1038433.434877821 7456684.861747535, 1048433.434877821 7456684.861747535))"
89,"POLYGON ((1098433.434877821 7426684.861747535, 1098433.434877821 7436684.861747535, 1088433.434877821 7436684.861747535, 1088433.434877821 7426684.861747535, 1098433.434877821 7426684.861747535))"
90,"POLYGON ((1038433.434877821 7456684.861747535, 1038433.434877821 7466684.861747535, 1028433.434877821 7466684.861747535, 1028433.434877821 7456684.861747535, 1038433.434877821 7456684.861747535))"
91,"POLYGON ((1678433.434877821 7356684.861747535, 1678433.434877821 7366684.861747535, 1668433.434877821 7366684.861747535, 1668433.434877821 7356684.861747535, 1678433.434877821 7356684.861747535))"
92,"POLYGON ((1288433.434877821 7286684.861747535, 1288433.434877821 7296684.861747535, 1278433.434877821 7296684.861747535, 1278433.434877821 7286684.861747535, 1288433.434877821 7286684.861747535))"
93,"POLYGON ((1138433.434877821 7466684.861747535, 1138433.434877821 7476684.861747535, 1128433.434877821 7476684.861747535, 1128433.434877821 7466684.861747535, 1138433.434877821 7466684.861747535))"
94,"POLYGON ((1158433.434877821 7386684.861747535, 1158433.434877821 7396684.861747535, 1148433.434877821 7396684.861747535, 1148433.434877821 7386684.861747535, 1158433.434877821 7386684.861747535))"
95,"POLYGON ((1328433.434877821 7426684.861747535, 1328433.434877821 7436684.861747535, 1318433.434877821 7436684.861747535, 1318433.434877821 7426684.861747535, 1328433.434877821 7426684.861747535))"
96,"POLYGON ((1408433.434877821 7506684.861747535, 1408433.434877821 7516684.861747535, 1398433.434877821 7516684.861747535, 1398433.434877821 7506684.861747535, 1408433.434877821 7506684.861747535))"
97,"POLYGON ((1298433.434877821 7296684.861747535, 1298433.434877821 7306684.861747535, 1288433.434877821 7306684.861747535, 1288433.434877821 7296684.861747535, 1298433.434877821 7296684.861747535))"
98,"POLYGON ((1378433.434877821 7546684.861747535, 1378433.434877821 7556684.861747535, 1368433.434877821 7556684.861747535, 1368433.434877821 7546684.861747535, 1378433.434877821 7546684.861747535))"
99,"POLYGON ((1098433.434877821 7606684.861747535, 1098433.434877821 7616684.861747535, 1088433.434877821 7616684.861747535, 1088433.434877821 7606684.861747535, 1098433.434877821 7606684.861747535))"
100,"POLYGON ((1288433.434877821 7546684.861747535, 1288433.434877821 7556684.861747535, 1278433.434877821 7556684.861747535, 1278433.434877821 7546684.861747535, 1288433.434877821 7546684.861747535))"
101,"POLYGON ((1078433.434877821 7446684.861747535, 1078433.434877821 7456684.861747535, 1068433.434877821 7456684.861747535, 1068433.434877821 7446684.861747535, 1078433.434877821 7446684.861747535))"
102,"POLYGON ((1158433.434877821 7366684.861747535, 1158433.434877821 7376684.861747535, 1148433.434877821 7376684.861747535, 1148433.434877821 7366684.861747535, 1158433.434877821 7366684.861747535))"
103,"POLYGON ((1158433.434877821 7616684.861747535, 1158433.434877821 7626684.861747535, 1148433.434877821 7626684.861747535, 1148433.434877821 7616684.861747535, 1158433.434877821 7616684.861747535))"
104,"POLYGON ((1328433.434877821 7286684.861747535, 1328433.434877821 7296684.861747535, 1318433.434877821 7296684.861747535, 1318433.434877821 7286684.861747535, 1328433.434877821 7286684.861747535))"
105,"POLYGON ((1348433.434877821 7436684.861747535, 1348433.434877821 7446684.861747535, 1338433.434877821 7446684.861747535, 1338433.434877821 7436684.861747535, 1348433.434877821 7436684.861747535))"
106,"POLYGON ((1278433.434877821 7466684.861747535, 1278433.434877821 7476684.861747535, 1268433.434877821 7476684.861747535, 1268433.434877821 7466684.861747535, 1278433.434877821 7466684.861747535))"
107,"POLYGON ((1388433.434877821 7526684.861747535, 1388433.434877821 7536684.861747535, 1378433.434877821 7536684.861747535, 1378433.434877821 7526684.861747535, 1388433.434877821 7526684.861747535))"
108,"POLYGON ((1148433.434877821 7596684.861747535, 1148433.434877821 7606684.861747535, 1138433.434877821 7606684.861747535, 1138433.434877821 7596684.861747535, 1148433.434877821 7596684.861747535))"
109,"POLYGON ((1198433.434877821 7416684.861747535, 1198433.434877821 7426684.861747535, 1188433.434877821 7426684.861747535, 1188433.434877821 7416684.861747535, 1198433.434877821 7416684.861747535))"
110,"POLYGON ((1668433.434877821 7376684.861747535, 1668433.434877821 7386684.861747535, 1658433.434877821 7386684.861747535, 1658433.434877821 7376684.861747535, 1668433.434877821 7376684.861747535))"
111,"POLYGON ((1108433.434877821 7356684.861747535, 1108433.434877821 7366684.861747535, 1098433.434877821 7366684.861747535, 1098433.434877821 7356684.861747535, 1108433.434877821 7356684.861747535))"
112,"POLYGON ((1348433.434877821 7426684.861747535, 1348433.434877821 7436684.861747535, 1338433.434877821 7436684.861747535, 1338433.434877821 7426684.861747535, 1348433.434877821 7426684.861747535))"
113,"POLYGON ((1058433.434877821 7376684.861747535, 1058433.434877821 7386684.861747535, 1048433.434877821 7386684.861747535, 1048433.434877821 7376684.861747535, 1058433.434877821 7376684.861747535))"
114,"POLYGON ((1288433.434877821 7306684.861747535, 1288433.434877821 7316684.861747535, 1278433.434877821 7316684.861747535, 1278433.434877821 7306684.861747535, 1288433.434877821 7306684.861747535))"
115,"POLYGON ((1128433.434877821 7596684.861747535, 1128433.434877821 7606684.861747535, 1118433.434877821 7606684.861747535, 1118433.434877821 7596684.861747535, 1128433.434877821 7596684.861747535))"
116,"POLYGON ((1278433.434877821 7316684.861747535, 1278433.434877821 7326684.861747535, 1268433.434877821 7326684.861747535, 1268433.434877821 7316684.861747535, 1278433.434877821 7316684.861747535))"
117,"POLYGON ((1328433.434877821 7316684.861747535, 1328433.434877821 7326684.861747535, 1318433.434877821 7326684.861747535, 1318433.434877821 7316684.861747535, 1328433.434877821 7316684.861747535))"
118,"POLYGON ((1118433.434877821 7586684.861747535, 1118433.434877821 7596684.861747535, 1108433.434877821 7596684.861747535, 1108433.434877821 7586684.861747535, 1118433.434877821 7586684.861747535))"
